Equipment Description,Model,Problem,Initial Diagnosis,Work Done
Halogen,QH-150,Light bulb was defective and not functioning.,Light bulb was defective and not functioning.,"&nbsp;Upon inspection, it was found that the bulb had burnt out and required replacement. A new bulb was installed, and the connection was properly soldered to ensure secure contact. After testing, the light source was confirmed to be functioning normally."
,CX21FS1,issue,&nbsp;Microscope was not powering on.,"Upon inspection, it was found that the microscope was not switching on. Further examination revealed a fault in the power supply board along with a short-circuited bulb, which was preventing the lamp from glowing. The power supply board was repaired, and the bulb was replaced with a new one. After these corrections, the microscope was tested and is now functioning properly."
,EPK-i5000,issue,Video/image capture on the computer was not functioning.,"&nbsp;After detailed inspection and troubleshooting, the issue was traced to a faulty ADC adapter and AV cable. A temporary fix was applied to keep the system operational due to urgency. However, for reliable and smooth functioning, both the ADC adapter and AV cable need to be replaced."
12 channel,Cardiovit AT-2 plus,issue,Reported to have issue with AC power connector.,"Upon request from the Incharge, the ECG machine was inspected and tested to verify its functionality. It was found that the AC power connector was misaligned due to missing screws, which caused improper connection. The connector was realigned and securely fixed. After thorough testing, the machine was confirmed to be operating smoothly."
Intracorporal Shockwave Lithotripsy (ISWL),Nidhi Lith,Issue,&nbsp;Foot paddle was not functioning smoothly.,"Upon inspection, it was found that the foot paddle was not operating properly. Further internal inspection revealed that the limiting switch was defective, which was preventing the proper functioning of the paddle mechanism. The damaged limiting switch was replaced with a new one and securely soldered. After testing, the foot paddle was confirmed to be functioning normally."
Ortho,SISJM-127,issue,Drill was not functioning smoothly.,"&nbsp;Upon inspection, it was found that the foot switch had a loose connection, which was preventing the drill from operating properly. The loose connection was resoldered securely, and the machine was tested. After verification, the drill was confirmed to be functioning smoothly."
,EN-S7,issue,Syringe pump was not functioning.,"Upon inspection, it was found that the syringe push handle was dismantled, which prevented the sensor from properly detecting the syringe. The handle was reassembled and secured correctly. After comprehensive testing, the syringe pump was confirmed to be operating smoothly."
,,issue,Chair was reported to be non-functional.,"Upon inspection, it was found that the 3-way syringe was not supplying water due to a loose connection and blockage in the water line. The connection was secured, and the blockage was cleared. After testing, the dental chair is now operating smoothly."
,,issue,&nbsp;Overhead light was non-functional.,"During inspection, it was found that the overhead lamp wire was disconnected from the transformer output terminal, resulting in a loss of power supply to the light. After rewiring properly normal light functioning was restored."
General,Smart 400 plus,issue,Machine doesn’t turn on.,"It was identified that the issue originated from the main switch, which repeatedly failed due to its low current rating and substandard quality. To resolve the problem, we replaced it with a higher-capacity, premium-quality switch and enlarged the switch slot to ensure proper fitting and enhanced safety. After implementing these improvements, the problem has been successfully resolved, and the system is now operating smoothly without any further failures."
Holomium (Lithotripsy),GA-0006000P20,issue,Fiber optics detection and focusing issues.,Replaced the fiber optics detector and focusing cup. The machine is now fully functional.
,ZC-9200A,issue,Suction not working,"The suction switch was not connected properly. Reconnected it correctly, and now the machine is fully functional."
,,Power wire disconnected.,Power wire disconnected.,Reconnected the power wire properly. Both machines are now fully functional.
Ultrasonic Aspirator,USG-400,issue&nbsp;,Issue in patient plate.,"Upon inspection, it was found that the connector wire was damaged, causing interruption in functionality. The wire was properly soldered and secured. After testing, the patient plate was confirmed to be functioning normally."
,ZC-9200A,issue,Ultrasonic scaler was not functioning.,"Upon inspection, it was found that the ultrasonic scaler was not working due to voltage fluctuation caused by a damaged fuse and a loose fuse connection. The fuse issue was corrected, and the connections were secured after thorough inspection. Following these actions, the ultrasonic scaler was tested and confirmed to be working smoothly."
,CX21FS1,ISSUE,Reported issue with unstable power switch.,"Upon inspection, the power switch was found to be displaced and loosely connected, resulting in unstable power supply. The switch was resoldered and fixed securely to restore proper connection. Additionally, the illuminator visibility was poor due to dust accumulation, which was thoroughly cleaned. The microscope was then tested and confirmed to be functioning smoothly."
General Adult/Pediatric,VG70,ISSUE,O₂ sensor failure.,"Replaced the O₂ sensor, performed testing and calibration. The machine is now fully functional."
5 Parameters Bedside,H9,issue,"The patient monitor stand plate was unstable, causing the monitor to fall.&nbsp;","Inspected the stand plate, tightened and secured the lock. The monitor and stand are now stable and fully functional."
General,Sparsh 400,issue,Bipolar function not working during the case.,"During inspection, it was found that the bipolar function was not working. On checking, the foot switch was not triggering due to being displaced from its original position. The foot switch was repositioned and secured properly. The machine is now fully functional."
,Flowtron ACS900,issue,The machine was set to operate only in the foot mode and did not extend to the leg or thigh.,"During inspection, it was found that the sensor was configured to foot mode only, which prevented the machine from providing adequate pressure to the leg and thigh. The sensor was reset, and now the machine is fully functional. However, it also has a battery issue -the battery does not charge."
5 Parameters Bedside,INFINITY DELTA,issue,The monitor housing was broken due to long-term use.,"The monitor housing was replaced from another monitor, and the machine is now fully functional."
5 Parameters Bedside,H9,issue,"The monitor parameters were not displaying properly (NIBP, SpO₂, ECG).","During inspection, it was found that the probes were damaged and the NIBP cuff was leaking. The probes and cuff were replaced, and now all monitors are fully functional."
5 Parameters Bedside,H9,issue,"The monitor parameters were not displaying properly (NIBP, SpO₂, ECG).","During inspection, it was found that the probes were damaged and the NIBP cuff was leaking."
5 Parameters Bedside,H9,issue,"he monitor parameters were not displaying properly (NIBP, SpO₂, ECG).","During inspection, it was found that the probes were damaged and the NIBP cuff was leaking. The probes and cuff were replaced, and now all monitors are fully functional."
12 channel,PB216,ISSUE,&nbsp;Lead V3 was not showing in the ECG graph.,"During inspection, it was found that the Lead V3 connector was corroded and unable to catch the signal, which caused the issue. All probes and leads were cleaned, and now the machine is fully functional."
General with integrated DR,PRORAD 3NC,issue,Reported to be non-functional as the tube up–down movement was not responding.,"Upon inspection, it was found that the system had become unresponsive, likely due to a temporary control or power interruption. The machine was powered off completely and allowed to reset. After restarting, the tube movement functioned normally, and the X-ray machine was tested to confirm smooth operation. The issue appears to have been caused by a temporary system hang, which was resolved through a proper power reset."
ENT,Tivato 700,issue,"Reported to be non-functional, as the up–down movement of the microscope was not responding.","Upon inspection, it was identified that the issue occurred due to a system hang, which caused the movement function to remain stuck. The system was then properly shut down and reset. After restarting, the microscope responded normally. The equipment was tested thoroughly and confirmed to be functioning smoothly."
General,Smart 400 plus,ISSUE,Patient plate was not working.,"On inspection, it was identified that the patient plate connector was damaged, leading to improper contact. The damaged wire was resoldered and secured properly. After repair, the cautery unit was tested thoroughly and confirmed to be operating smoothly without any further issues."
Dental,M320,issue,The lens was locked.&nbsp;,"During the inspection, it was found that the lens was locked. The lens was opened, and a new lens was replaced. Now the machine is ready to use."
General,Sparsh 400,issue,"Reported to produce sparks during operation, suspected due to faulty wiring of the switch.","Upon inspection and testing, the wiring issue was addressed, and the unit was operated to confirm functionality. The machine was found to be working smoothly without any sparks, ensuring it is now operating safely and reliably."
,PRISMA 450,issue,Tidal volume not delivered accurately.,"During inspection, leakage was found in the breathing circuit and CO₂ absorber. The leak was rectified, and the machine is now ready for use."
,,issue,Water leakage issue.,"Upon inspection, it was identified that the leakage originated from a small puncture in the water supply pipe. The damaged section of the pipe was repaired, and all connections were properly secured to prevent further leakage. After the repair, the dental chair was tested and confirmed to be functioning smoothly with no signs of water leakage."
,MBK OC NO 0886/12,issue,Ultrasonic scaler not functioning.,"Upon inspection, it was determined that the ultrasonic scaler was not operating due to an interruption in water flow. The water supply bottle was unable to maintain adequate vacuum pressure because of an air leak in the line. The leakage was identified and sealed properly, restoring normal pressure within the system. After correction, the water flow and ultrasonic function were tested, confirming that the scaler is now operating smoothly and effectively."
General,Force FX-8C,issue,&nbsp;Error 198 – the machine was not functioning properly.,"The accessories, including the foot switch and pencil, were removed and the machine was restarted. It is now ready for use."
,,issue,Air leak at the pneumatic pressure regulator.,Inspected and tightened/locked the pneumatic air pressure regulator to stop the leak.&nbsp;
,Smart NeB,issue,Mist not forming,"During inspection, found the filter rusty. Replaced it, and now the unit is ready to use."
Ultrasonic/Harmonic with Pressure,400HP,issue,Bipolar not working,"During inspection, found that the foot switch was not triggering. One pin of the foot switch had slipped inside the connector. It was fixed, and the unit is now ready to use."
,A5,issue,O₂ calibration failed.,Replaced the O₂ cell and performed calibration. Now the machines are ready to use.
,,issue,O₂ calibration failed.,Replaced the O₂ cell and performed calibration. Now the machines are ready to use.
Dental,M320,issue,Lens lock not opening.,"During inspection, it was found that the lens was very tight. It was carefully loosened and opened. Now the equipment is ready to use."
General Adult/Pediatric,Avea,issue,O₂ sensor calibration failed.,"During inspection, it was found that the O₂ cell was expired. The cell was replaced, and the ventilator is now ready to use."
5 Parameters Bedside,Imec 15,issue,&nbsp;CVP parameter not displaying on the monitor.,"Upon inspection, it was verified that the CVP probe and connector were functional. Further investigation revealed that the CVP parameter was not enabled in the system settings. The parameter configuration was adjusted to activate CVP monitoring. After reconfiguration and testing, the monitor displayed all parameters correctly and is now functioning smoothly."
General Adult/Pediatric,AVEA,issue,Ventilator not displaying the required FiO₂ level and showing an oxygen sensor failure alarm.,"Upon inspection, it was identified that the expiratory valve filter was clogged with dirt, and the oxygen sensor had malfunctioned. The expiratory valve was removed and autoclaved for cleaning, and the faulty oxygen sensor was replaced with a new one. After reassembly and functional testing, the ventilator was confirmed to be operating smoothly with accurate FiO₂ readings and no error indications"
General Adult/Pediatric,AVEA,issue,Operational Training for Nursing Staff,"An operational training session was conducted for the MICU nursing staff focusing on the maintenance of the ventilator system. The team was informed about the importance of monthly autoclaving of the expiratory valve to ensure optimal performance and longevity of the machine. Additionally, hands-on training was provided on the correct procedure for assembling and disassembling the expiratory valve for autoclaving and reinstallation."
,PRIMA 450,issue,&nbsp;High leakage and SPO₂ not displaying on the monitor.,"During inspection, it was found that the washer was broken and the bellow was not tightened properly. After temporarily fixing the washer and adjusting the bellow position properly, it passed the leakage test.The machine is now fully functional."
,NA,issue,Power switch was not working.,"After replacing the switch, the device was powering on and working properly."
5 Parameters Bedside,C80,issue,IBP (Invasive Blood Pressure) not detected or displayed.,"The patient monitor was reported to be not displaying IBP readings. Upon inspection, the system settings were verified to be correct, and the pressure sensor was found to be functioning properly. Further diagnostics confirmed that the issue originated from a faulty transducer cable connector. Two replacement cables were tested but found defective as well. After installing a verified functional transducer cable, the monitor successfully detected and displayed accurate IBP readings. The system was tested and confirmed to be operating normally."
7 Parameters Bedside,C80,issue,SpO₂ parameter not displaying.,"The patient monitor was reported to be not showing SpO₂ readings. Upon inspection, it was identified that the SpO₂ probe was damaged, preventing proper signal detection. The faulty probe was replaced with a new one, after which the monitor was tested and confirmed to be functioning properly with accurate SpO₂ readings."
Ultrasonic/Harmonic with Pressure,400HP,issue,Bipolar open circuit error.,"During inspection, it was identified that the error occurred due to insufficient REM (Return Electrode Monitoring) feedback from the patient plate. The patient plate was repositioned and adhered properly to the patient’s skin to ensure optimal contact and electrical continuity. After securing the connection, both monopolar and bipolar modes were tested and confirmed to be functioning correctly without any further error indications."
Ultrasonic/Harmonic with Pressure,SONOCA 300,issue&nbsp;,&nbsp;Ultrasonic transducer not detected and system error during startup.,"The Söring Sonoca 300 was reported to be unable to detect the ultrasonic transducer and was frequently displaying error alarms during boot-up. Upon inspection, continuity testing revealed that one of the connector pins was not conducting properly due to a broken internal wire. The wire was resoldered securely, restoring proper signal transmission. Additionally, the foot pedal was found to be non-functional because its connector was disconnected. All cable connections were checked, reset, and comprehensive functional testing, including transducer and foot pedal verification, the unit was confirmed to be operating normally without any further errors."
,,issue,Air leakage in the supply line.,"Upon inspection, it was found that the air leakage originated from the supply line connected to the compressor. The leakage point was identified and sealed properly, ensuring stable air pressure throughout the system. After repair and testing, the dental unit was confirmed to be functioning smoothly without any air leakage."
,EN-S7 SMART,issue,Reported as non-functional,"Upon inspection, the device was found to be functioning normally. Comprehensive performance testing was carried out, confirming that the syringe pump is operating smoothly and within normal parameters."
,Benefusion VP3,issue,Reported as non-functional.,"The infusion pump was reported to have inaccurate and fast infusion delivery. Upon performing comprehensive functional and calibration tests, the device was found to be operating accurately in accordance with the set rate and VTBI within the calculated infusion time. The infusion pump is now functioning properly and delivering as specified."
,,issue,The nebulizer &nbsp;power cord issue.,"Upon inspection, it was found that the power supply cord was damaged, preventing the device from powering on. The damaged cord was repaired and secured properly. After reassembly and testing, the nebulizer was confirmed to be operating smoothly and functioning as intended."
,MBK OC NO 0886/11,issue,Device not charging.,"Upon inspection, the issue was identified as an operational error. The charging cable was being connected in the wrong orientation. After demonstrating the correct charging procedure, the device was tested and found to be charging and functioning normally."
Digital,NA,issue,Error 3 alarm.,"Upon inspection, the device displayed “Error 3,” which indicates an air leakage issue. Further testing confirmed that the leakage originated from the BP cuff. The fault was verified by cross-checking with another functional cuff, which resolved the error. The BP cuff requires replacement to restore normal operation."
Digital,,Zeroing issue,Zeroing issue.,"Upon inspection, there was an zeroing issue which was fixed properly."
Halogen,QH-150,issue,Light source not functioning.,"Upon inspection, it was found that one of the bulb wires was loose, causing power interruption to the lamp. The loose bulb wire was resoldered securely to ensure proper electrical connection. After testing, the light source was confirmed to be functioning normally."
,MBK OC NO 0886/11,issue,Suction drainage leakage.,"The dental chair was reported to be non-functional. Upon inspection, it was found that the suction drainage pipe was leaking due to wear and tear. The damaged section of the pipe was repaired and sealed properly, restoring normal suction function. After testing, the dental chair was confirmed to be operating smoothly without any leakage"
,Prima 450,issue,Display showing white screen.,"The anesthesia machine was reported to have a white display issue. Upon inspection, it was found that the display signal was interrupted due to a loose internal connection. The display connections were reset and secured properly. After reassembly and testing, the display was restored to normal, and the machine is now operating correctly."
Digital,NA,issue,Device displaying Error 1.,"The digital BP monitor was reported to be non-functional, showing Error 1 during measurement. Upon inspection, the issue was identified as an incorrect cuff positioning and improper adjustment during use. After correcting the cuff placement and ensuring proper calibration, the device was tested and found to be functioning accurately and operating normally."
,EN-S7 SMART,issue,device was not powering on,Identified the issue as a discharged battery. Performed a reset of all components. The device is now fully functional.
Manual,NA,ISSUE,Reported to be non-functional.,"Upon inspection, there was an damage in Bp cuff tubing. The issue has been fixed properly."
3 channel,SE-3,issue,&nbsp;Printer not working.,"During inspection, it was found that the printer was not working. The thermal printer was reset, and it is now ready to use."
