Equipment Description,Manufacturer,Model,Problem ,Work Done 
Ventilator,Hamilton,C3,PreOp tests issue, Successful PreOp tests performed
Ventilator,Hamilton ,C3,PreOp tests issue,Successful PreOp tests performed 
Bubble CPAP,,,Humidifier doesn't heat up,Adjusted the device settings and device started heating up
Infant Radiant Warmer,Shreeyash ,,Front panel lock broken,Fixed the locking mechanism
Patient Monitor,MINDRAY ,SV200,SPO2 not displayed,Inspected and found SpO2 probe to be damaged
Syringe Pump,Enmind,EN-S7 Smart,System error ,Ran a check and fixed
Syringe Pump,mindray ,Benefusion SP3,Infusion Interrupted,Settings configured
Bubble CPAP,,,Humidifier not heating up,Tubing arrangement fixed
Infant Radiant Warmer,Shreeyash,,Not heating Up,Ran a check and guidance provided
Bubble CPAP,,,Bubbles not appearing ,Tubing managed properly 
Infusion Pump,,,Stand holder issue,Holder fixed
Infusion Pump,,,Stand holder issue,Holder fixed
Infant Radiant Warmer,Shreeyash ,,Power switch doesn't turn Off ,Replaced switch
Ventilator,,,"Exhalation Obstruction when used on patient
",Checked and tests performed successfully. Suggested to change diaphragm
Ventilator,,,"Exhalation Obstruction when used on patient
",Checked and tests performed successfully. Cleaned dust filters
Ventilator,,,Tests  issue,PreOp tests successful 
Ventilator,,,Tests issue,PreOp tests successful
Patient Monitor,,,Loose SpO2 connector on device ,Screw tightened
Syringe Pump,,,AC connection interrupted,AC cable connected loosely onto power socket
ECG Machine,Philips,Typewriter ,ECG history not shown ,Settings maintained
Patient Bed,,,Loose screw ,Fixed screw connection
View Box,,,Not turning ON,"Adapter scrutiny. Board issue, suggested for replacement"
Patient Bed,,,Up movement not working,Settings adjusted
Patient Bed,,,Up movement not working,Setting adjusted
Nebulizer,Niscomed,,Does not power on,Inspected and found wire damaged and repaired the wire
Nebulizer,,Cwan ,Low output,General Maintenance performed 
Infant Radiant Warmer,Shreeyash,,Safety bar Broken ,Fixed safety bar hinges 
TENS Machine,,,Broken electrode connector,Fixed connector
TENS Machine,,, Broken electrode connector ,Fixed connector 
Nebulizer,Niscomed ,,Does not turn on,Wire fixed
Nebulizer,Lever Care ,,Low output,General Maintenance 
ECG Machine,Philips ,PageWriter TC20,Ecg cable does not respond ,Ecg cable fixed
ECG Machine,Nihon Kohden ,,Does not print ,Fixed printer
Patient Monitor,Philips,Efficia CM120,NIBP not working ,Tested and fixed the cable
Patient Bed,,,Safety bar loose,Fixed the safety bar
ECG Machine,ECGMAC,EM 301,Doesn't print ,Printer paper position fixed
Drum,,,Broken Cap,Fixed Cap 
Syringe Pump,Smiths Medical ,,Battery not charging,Charging adapter loose prongs fixed
USG Machine,Mindray ,,Appearance of Black line on the screen of USG,TCB settings done 
Patient Monitor,Philips,Efficia CM120,NIBP reading not displaying on the screen,NIBP cuff changed
Microscope,Takagi OM-5,,Surgical Microscope handel was loose,Handel was tightened 
Lithotripter,,,Lithotripter's loose footh switch problem ,Foot switch cable fixed
OT Bed,,,Up and Down gear mechanism problem ,Screw was tightened
ECG Machine,Nihonkohden ,,No waves while used on patients ,inspection and maintenance performed 
OT Light,,,OT light handel was loose can't fixed in one position ,OT light handel was brought into it's original position by tightening the screw.
Blood Warmer,,,3 pin power top was broken ,3 pin power top changed 
Chest Vibrator,Thrive,,Broken wire in between the cable,Attached the broken wire
Chest Vibrator,Thrive,,Wire disconnected at board ,Disconnected wire was fixed 
ECG Machine,Nihon Kohden ,,Printing Error,electrode Tightened and printer error fixed
Nebulizer,,,Broken 3-pin power connector,3 pin connector changed
Chest Vibrator,Thrive,,Power Cable wire broken,Cable repaired and fixed
Chest Vibrator,Thrive,,Over vibrating and producing sound,Interner nut tightened and fixed connections
Weighing Balance,TS,TS500,Faulty power switch,Switch changed
Syringe Pump,Mindray,,No delivery of total VTBI ,Calibration Performed
X-Ray Machine,Allengers,,Collimator light not glowing,Collimator bulb burnt wire fixed
Syringe Pump,Mindray,,No total VTBI delivery ,Calibration performed 
Patient Bed,,,No power,Power Socket inspected and found faulty 
Drum,,,Broken lid hinge,Fixed 
Biochemistry Analyzer,,A25,Needle blockage and leakage,Cleared the needle blockage and leaking tube fixed
Ventilator,Hamilton,C3,Requested inspection of ventilator,Found O2cell defective 
Ventilator,Hamilton,C3,Requested inspection of Ventilator,Found O2cell defective
Ventilator,Hamilton ,C1,Requested inspection of ventilator ,Found the need to perform PM
Ventilator,Hamilton ,C1,Requested for inspection of ventilator ,Found the need to perform PM
Ventilator,Hamilton ,C1,Requested to inspection of ventilator ,Found the need to perform PM
Ventilator,Hamilton ,C1,Requested for inspection of ventilator,Found the need to perform PM and O2cell defective 
X-Ray Machine,Konica Minolta,,System Hang,Power reset performed
Ventilator,Hamilton,C1,Requested for inspection of ventilator ,Found the need to perform PM
BIPAP,,,"Not showing Tidal volume
",Settings maintained 
Drum,,,ICU drum cap broken,Screw tigthened 
TENS Machine,,,Tens electrode broken,Electrode cut and fixed 
Speculum,,,"Speculum parts broken 
",2 speculum were assembled and fixed 
Blood Warmer,,,Blood Warmer cable broken,Cable was fixed  by cutting and soldering 
View Box,,,No light in xray view box ,Disconnected 3 pin  cable was fixed
Infusion Pump,JMS,OT-701,Early warning of empty error ,Drip senor attached and calibration performed
Infusion Pump,Jms,OT 701,Early warning of empty error ,Drip senor attached and calibration performed
Patient Bed,,,Bed side lock broken nut loose,Nut tigntened
Patient Bed,,,Patient Bed not responding up and down inputs ,Lock in remote was unlocked
ECG Machine,,,No showing waveforms,Leg electrode properly attached 
X-Ray Machine,,,Collimater wire was burn ,New wire was attached 
Patient Monitor,,,SpO2 probe not responding ,Need to change the probe 
TENS Machine,,,Electrode problem ,Cut and join
Syringe Pump,Mindray ,,Empty error ,Calibration done
ENT Microscope ,,,Light issue,
Microscope,,,No screw in microscope,Screw tigthened 
CTG,,,CTG alarm sound was low , Increase the sound to maximum. Settings done
Infant Radiant Warmer,,,Skin sensor fail,Skin sensor tightened 
Ventilator,Mindray ,,,Pre op checked 
Ventilator,Hamilton ,,,Pre op checked 
Ventilator,Hamilton ,,,Pre Op checked 
Sphygmomanometer,,,No movement of manometer needle while pumping ,Manometer needle was aligned
Blood Gas Analyzer,,,Sample aspiration error. ,Bubble was removed and test was performed successfully 
Syringe Pump,Advanced,,Showing empty in 5ml remaining. ,Syringe pump was calibrated 
Autoclave,,,No heating ,Heating rod changed
BIPAP,Philips ,,No enough CO2 clearence ,Bipap maintanence
Nebulizer,Niscomed,,Burnt wire ,3 pin top changed 
Coulter Counter,,,Clog in tubing and flow sheath error,Cleared tubing and tube cross verified and replaced flow sheath sensor
Ventilator,Hamilton,C3,Requested to perform preop check,Preop check performed
Ventilator,Hamilton ,,,Pre op checked 
Ventilator,Mindray ,,,Pre Op checked 
PFT,,,Loose probe connection ,Probe with Monitor was tightened
Central Monitoring System,Philips,Efficia CM120,Not displaying the data of  a patient Monitor ,Connection reset and functions check up. 
Blood Warmer,HEPHO,,Charging prob connection broken ,Wire was connected and soldered 
ECG Machine,Philips ,,High interference in Wave,Neutral limb probe was tightened 
Nebulizer,Niscomed,,Brunt probe,Prob soldered 
Slit lamp,,,Lamp not glowing ,Examined and fixed the electrical connections. 
Ventilator,Mindray ,,,Pre Op checked 
Incubator,,,Temperature controller not working properly ,Running under manual mode
Nebulizer,Niscomed,,Wire connection brunt ,Wire was fixed. 
Nebulizer,Niscomed ,,Broken 3 pin top ,3 pin top changed 
Sphygmomanometer,,,Mamometer not working properly. ,Sphygmomanometer was replaced 
Sphygmomanometer,,,,Maintanence done
Ventilator,Hamilton ,,,Pre op checked 
ELISA Washer,,,Leakage on pipe,Vendor consultant 
ECG Machine,Mindray ,,Printer issue and cable broken,Cable was changed
Anesthesia workstation,Neptune ,,Ventilator broken wheel support ,Inspection done and wheel support fixed 
ECG Machine,Philips,Page writer TC20,Interpretation prompt display needs to be disabled,Settings done 
Refrigerator,Haier,HYC-260,Does not turn ON,Fixed the power cable
Refrigerator,Haier,HYC-260,Temperature is not at required range,System checked and door locked properly 
X-Ray Machine,Allengers,,Misalignment of collimator light,Alignment done and collimator light matched the size and shape of the x-ray field.
Infusion Pump,Mindray,BeneFusion VP3,System Error,System checked and board maintenance performed.
Patient Monitor,Philips,Intellivue MP20,Spo2 cable not working,Tested SpO2 cable and replaced
Patient Monitor,Philips,Intellivue MP20,Spo2 cable not working,Spo2 cable repaired and insulated
Patient Monitor,Philips,Intellivue MP20,Spo2 cable not working,Spo2 cable repaired and insulated
Pulse Oximeter,,,Spo2 cable not working and battery error,Battery replaced and requested to replace spo2 cable
Pulse Oximeter,,,Spo2 cable not working,Requested to replace spo2 cable
Sphygmomanometer,,,Aneroid gauge does not show proper reading ,Gauge repaired
ECG Machine,Philips ,,Interpretation appears on screen,Settings maintained
Electrolyte Analyzer,,,Reagent error ,Electrode washer cleaned and performed the test
ELISA Washer,BIOBASE,BK-9622,Elisa washer is not working,Tip was cleaned with warm water and pipe leakage was found 
USG Machine,JUS-2,,No vibration and heat on the probe head.,Probe head interchanged from old probe
USG Machine,Johari,Jus -2,E5 error ,Settings inscepted and solved 
Ventilator,Hamilton,,,Pre operational checked
Ventilator,,,,Pre operation checked
Ventilator,,,,Pre operational checked 
Ventilator,Mindray ,,High circuit resistance ,Inspected the circuit and tested 
Blood Gas Analyzer,,,Cartridge stuck,Cartridge properly withdrawn and provided user guidance 
OT Light,,,Light was not glowing ,Inspected and provided guidance to ON and OFF the light 
ECG Machine,Nihon Kohden ,CardiofaxC,User details was not displaying ,Settings done to show user details.
Incubator,HL scientific industries ,,No increase in temperature ,Tested and found to be system to be working
X-Ray Machine,,,Cassette key sliding lock loose,Lock was fixed with screw
Sphygmomanometer,,,Sphygmomanometer was not showing reading ,Inspected and Tested
Sphygmomanometer,,,Needle orientation faulty ,Needle alignment performed 
Nebulizer,,CWAN,Nebulizer is not delivering air,Found piston to be broken and suggested to replace 
Hot Air Oven,HL scientific industries ,,Temperature is not increasing to required degree.,Found the wire to be burnt and repair done
Patient Bed,,,3 pin top burnt,3 pin top changed 
Patient Bed,,,Head portion does not lift up,Settings configured
Nebulizer,Niscomed ,,No fuming,General Maintenance
Nebulizer,Niscomed,,No fuming,General Maintenance
Central Monitoring System,,,Parameters does not display on CMS,Connection configured
Patient Bed,,,Power supply does not turn on,Inspected and found power cord faulty
Patient Monitor,Schiller,Truscope ULTRA Q7,Touch screen not working ,General Maintenance and cable reset
ECG Machine,Philips ,,Waves does not appear on screen and Neutral cable does not respond properly ,Fixed the cable connection
Electrolyte Analyzer,Jokoh,,Slope Error,Cleaned all the tubing
ECG Machine,,,No waves shown on display ,Fixed the cable and found expired paper
Hydrocollator,,,No heating,Heating rod changed 
Nebulizer,Niscomed ,,Burnt 3 pin Top,3 pin Top changed 
Stethoscope ,,,Stethoscope diaphram was not working ,Unused Diaphram was replaced 
Stethoscope ,,,Sound was hearing in only one side,Loose diaphram was tightened 
Stethoscope ,,,One ear bud was missing ,Ear buds was fixed from unused stethoscope 
Weighing Balance,,TS500,Fluctuating Display ,Connect Reset 
Nebulizer,Niscomed ,,Burnt wire,Wire was soldered
Nebulizer,Niscomed ,,Wire connectivity ,Wire was soldered 
Nebulizer,Niscomed ,,,Inspection was done working fine
Central Monitoring System,Acer,,CMS no showing Bed.218 information ,Lan cabel was checked and tightened 
Patient Monitor,Mindray,UMec 10,SpO2 probe insulation was worn out,Wire was insulated properly
Patient Monitor,,,Showing green screen ,Display cabel was  reconnected and fixed
Patient Bed,T motion ,,Bed not working up and down,Settings done
Central Monitoring System,,,No power in CPU,Connection fixed
Ventilator,Hamilton,C3,Requested for circuit test passed,Performed the circuit test
Ventilator,Mindray,SV600,Requested for circuit test pass,Performed the circuit test
X-Ray Machine,Allengers,,Collimator light not working,Burnt wire repaired
Anesthesia workstation,Dameca,Siesta i whisper,Oxygen leakage,Inspected internal oxygen tank and connections tightened. Also oxygen port connector tightened
Immunoassay Analyzer,Snibe,Maglumi2000,Chamber lift cannot moved down,Removed deposited crystal and cleaning has done
Coulter Counter,Nihon Kohden,CelltacG,Reagent expired,Reagent replaced
ECG Machine,Philips ,Page writer TC20,Paper jam,Paper reinstalled
ECG Machine,Philips,PageWriter TC20,Unable to print the ECG graph,Paper proplerly placed 
OT Light,,, Light Head loose,Light Head connection Tightened 
Ventilator,Leistung,Luft3,3pin top broken,3 pin top changed
BIPAP,Philips,Respironics,Co2 no clearance,General Maintainance done
Ventilator,Hamilton,C3,Requested for circuit test pass,Performed circuit test
Gauge Cutter,,,Blunt Blade,Cutting blade replaced and sharpener alignment maintained
View Box,,,No power ,Inspected and found adapter to be faulty
Ventilator,Hamilton,C1,O2 port loose,Tightened O2 connector
Patient Bed,,,Fault in power module,Board Repaired
USG Machine,,,No power ON and faulty switch,Switch and fuse changed
ECG Machine,Nihon kohden,Cardio fax C,Paper improperly fixed,Paper fixed properly and replaced expired paper
Bubble CPAP,,,Requested for inspection,Inspection done and circuit maintained
Infant Radiant Warmer,Neotech,,Requested for inspection,Performed inspection
Laryngoscope,,,User unable to fix bulb,Bulb fixed properly
ECG Machine,Nihon Kohden,EM-301,Missing paper Holder,Holder fixed
Nebulizer,Niscomed ,,Burnt cable,Burnt cable repaired
Mattress Inflator,Accurate,,Burnt cable,Fixed  cable connection and  general Maintenance done
Mattress Inflator,,,No power on and faulty switch ,Replaced switch and general maintenance done
Weighing Balance,,,Low battery ,New Battery changed
Laryngoscope,,,User Issue,Tightened the screw
Patient Monitor,Philips,Efficia CM120,"BP Cuff reading not shown,",Inspected and found leakage in BP Cuff
Ventilator,Hamilton,C3,Requested for inspection ,Pre-Op check performed
Anesthesia workstation,Meditech,Neptune ,Ventilator wheel detached ,Caster wheel detached Araldite application and maintenance performed 
Infant Radiant Warmer,Shreeyash,,Faulty switch,Switch repaired
Infant Radiant Warmer,,,Loose fuse,Fuse checked and Tightened 
Nebulizer,,,Burnt Wire,3 pin Top changed 
Ventilator,Mindray ,SV,Request for inspection,Pre Op tests performed
Ventilator,Hamilton,C3,Low O2,Inspected and found O2 cell faulty
Blood Gas Analyzer,Edan,i15,Po2 Calibration failed ,"Contact with vendor 
Sampling issue "
Patient Monitor,Philips,Efficia CM120,Artifacts in ECG signal,Notch Filter Turned ON
ECG Machine,ECGMAC,EM 301,ECG paper not printing,Compatible paper was used 
Infant Radiant Warmer,Shreeyash ,,User issue,Inspected and provided User guidance
Infant Radiant Warmer,Shreeyash,,Faulty switch. ,Switch terminal replaced 
Syringe Pump,Smiths Medical ,Graseby C9,User Issue,Inspected and instruction provided how to use
Nebulizer,,,Loose part inside ,Loose part are attached using Vega and fixed
Electrosurgical Unit,Conmed,System 2450,Fluctuating in Cut and coagulation ,Connecter pin repaired 
Electrosurgical Unit,Meditom,DT-400P,Current Leakage,Inspection and board level repaired 
Infant Radiant Warmer,Shreeyash,,Heater not working ,Board wire repaired 
ECG Machine,Nihion Kohden,Cardiofax,ECG not printing ,New paper replaced. 
Chest Vibrator,Thrive,,Short Circuit ,Wire joined and connection made
Patient Monitor,Mindray ,UMec 10,NIBP Type Wrong ,Changed in Settings
Patient Monitor,Schiller,Truscope ULTRA Q7,Showing Alaram of ECG Lead Incompatible ,Compatible ECG lead was used
Electrosurgical Unit,MEDITOM,DT-400,Coagulation at foot switch not working,Foot switch connection repaired at cautry end 
Electrosurgical Unit,CONMED ,System 2450,Cut function not working,Inspected and connection reset 
ECG Machine,Nihon Kohden,CardioFax C,ECG graph not showing ,ECG cabel fixed properly
Patient Monitor,Mindray,UMec 10,Spo2 not working,Connection restored
Patient Monitor,Philips,Efficia CM120,BP not working,Restored connection
Patient Bed,T Motion,,Doesn't turn on,Board repaired and performed the test
CO2 Regulator,,,CO2 leakage,Tightened the regulator with cylinder
Sphygmomanometer,AND Medical,UA651,Doesn't turn ON,General Maintenance and battery replaced
ECG Machine,Nihon kohden,Cardio fax C,Doesn't turn ON,Put on battery charge and performed test
ECG Machine,Philips,Page writer TC20,Unable to print the ECG graph,Cleaned the motor shaft
Electrosurgical Unit,Meditom,DT-400P,Foot paddle not working,Repaired switch and board
Laryngoscope,,,Light wasn't glowing-Displacement of the bulb,Light bulb was fixed in its suitable position
Ventilator,Hamilton ,Hamilton-C3,,Pre Op checked 
Ventilator,Hamilton ,Hamilton-C3,,Pre Op checked 
Patient Bed,Ti Motion ,,Upper leftside bed frame loose,Compatible screw was fitted
Infant Radiant Warmer,Shreeyash,,Broken 3 pin plug,3 pin plug was changed 
Sphygmomanometer,,,User issue,Inspected and provide instruction for use
Central Monitoring System,Philips,Efficia CM120,Information of 216 patient monitor not showing in CMS,Inspected 
Biochemistry Analyzer,,BA400,Washing solution bottle calibration issue,Checked and calibrated the washing solution bottle weight sensor 
Biochemistry Analyzer,,A25,Sample probe fluidics error,Leakage from sample probe tube was adjusted
OT Light,,,Loose petals ,Tighten the screw of petals end
ECG Machine,Nihon kohden ,CardiofaxC ,Reported of getting flat ecg -loose VGA cabel connection ,Tightened the VGA and Provided instructions for  use 
Sphygmomanometer,,,No sign of  deflection of pressure gauge ,Rearranged the position of Gauge needle
TENS Machine,,,TENS Probe was broken,Connection was made by soldering 
Patient Bed,,,Bed Frame lock broken,Fixed with Aerolite and Tape
Infant Radiant Warmer,Shreeyash ,,Faulty Switch with internal connection was burnt,Burnt part was soldered and made connection strong. Faulty switch changed
X-Ray Machine,Allengers,,Light was continuous faulty switch ,Switch was replaced    
Ozone Therapy ,,,Burnt in power section ,Repaired power section board
Incubator,HL Scientific,,Incubator not meeting required temperature ,Broken Input wire was repaired 
Central Monitoring System,Philips,Efficia CM120,Monitor  stopped Monitoring:License not detected ,Connection reset
ECG Machine,ECGMAC,EM 301,Roller missing and broken display mirror,Inspected and found roller missing 
Immunoassay Analyzer,Snibe Diagnostic ,Maglumi-1000,Sample needle error,Needle coordination was fixed and checked overall units
Immunoassay Analyzer,Snibe diagnostic ,Maglumi 2000,Software error,"Updated new software 
Recovered backup file"
Ventilator,Neo respire,,Circuit not compatible ,Instructed to use compatible circuit 
Patient Monitor,Philips,Efficia CM120,Not displayed in CMS ,Connection established between patient monitor and CMS
OT Bed,,,Kidney Elvator not working propery,Mechanical parts of kidney elevator repaired 
ECG Machine,Philips ,PageWriter TC20,Printing isssue ,General maintenance 
Incubator,,,Fluctuation in the temperature ,Provide user guidance for operation
ECG Machine,Philips ,Typewriter,Print issue,Inspected and provided guidance 
Infusion Pump,Enmind ,ENV7 smart,Continuous bepping of alarm of  Air bubbles ,General Maintenance  and Calibration done
Nebulizer,,,Piston broken,Piston fixed and issue solved
USG Machine,Medison,AccuviXG,Black print,Setting Configured
Infusion Pump,JMS,OT701,Continues alaram of air and drift,Settings changed and configured 
Ventilator,Hamilton ,Hamilton C1,3 pin plug broken,Change 3 pin plug
Laryngoscope,,,Loose light bulb,Tighthtened the light bulb
Patient Monitor,Schiller ,Truscope ULTRA Q7,Screen not responding to touch,Woking with button for now
Mattress Inflator,,,Inflator not  functional ,General maintenance done
View Box,,,Tube light not glowing ,Wiring repaired 
C-Arm Machine,Epsilon,EPvictory RA-6,No complete movement of wheel,Aligned wheel chain mechanism 
Fetal Doppler,,,Ripped wire insulation ,General maintenance done 
Pulse Oximeter,,,Damage spo2 probe,Changed SpO2 probe
Patient Monitor,Philips,Efficia CM120,Wall mount losse nut,Tightened the wall mount loose nut.
Sphygmomanometer,,,Pressure Gauge needle faulty ,Alligned the Faulty needle to its orginal position 
Sphygmomanometer,,,Pressure gauge  glass was lost,Put new display and manage the alignment  of needle 
Patient Monitor,Mindray ,UMec 10,Light was not glowing in SPO2 probe,General maintenance was performed and solved the issue 
Ventilator,Mindray ,SV600,Flow sensor didn't pass during circuit  pass,Passed the circut with compatibile flow sensor
Patient Bed,Ti Motion,,Patient Bed bumper castor was broken,Bumper castor was repaired 
Fumigation Machine,,,No delivery of disinfectant/ chemical liquid,Broken checmical delivery tube repaired and re installed.
Electrosurgical Unit,Meditom,DT-400P,Request for general  maintenance ,Operational modes were checked and performed general maintenance 
Electrosurgical Unit,Conmed,System2450,Requested for the operational check,Checked all cabels and performed all general maintenance 
Electrosurgical Unit,RM medical,,Requested for the general maintenance ,Operation of all cabels were performed and maintanence done
Ventilator,Hamilton ,Hamilton-C1,Obstruction in ventilation while using in patient ,Issue with flow sensor was detected and solved the problem 
Chest Vibrator,,,3 pin plug broken,Connection was made 
Laryngoscope,,,Loose light bulb ,Light bulb was tightened 
TENS Machine,,,Multiple broken cord of TENS machine,Multiple Probe were adjusted and made working  fine
Biochemistry Analyzer,Bio System ,BA400,Overflow was detected on rotar,Cleaned rotaring house and cleand needle and calibrated 
Patient Monitor,Philips,Intellivue MP20,Requested for Installation ,Installation was done in wall mount 
Ventilator,Hamilton,Hamilton-C3,,Circuit pass was done 
Ventilator,Leistung ,,,Circuit passed and made standby
Sphygmomanometer,,,Pressure Gauge was not in proper alignment ,Adjusted the needle alignment and worked properly 
Patient Monitor,Schiller ,Truscope ULTRA Q7,Spo2 probe lock broken,Elstoplast was used to fit the spo2 probe for temporary use
Infusion Pump,JMS,OT700,Showing drip Alarm ,Drip sensor was cleaned and issue solved 
Centrifuge,Remi,,Stopped rotation ,Checked all parts and  found commutator erroded 
Infant Radiant Warmer,Shreeyash ,,No response of Temperature probe,Loose connection on the port was tightened 
Centrifuge,Remi,,Couldn't complete rotary action ,Open and found out commutator part was broken
Laryngoscope,,,Light bulb not glowing ,Light bulb was detached and adjusted 
Heater,,,Not working ,"Checked and found heater coil was damage, Fan was missing "
Heater,,,Heater not working properly ,Checked and reparied the  wiring of heating coil 
ECG Machine,Nihon Kohden ,,Printing issue ,Paper alignment was maintained 
Fumigation Machine,,,Fumigation Machine not working,Instructions were provided on how to use.
Pulse Oximeter,,,User issue: SpO2 probe was detached and wasn't fitting on the lock,Spo2 probe was adjusted properly enough for working.
